A Nightmare on Elm Street,1984,Horror,NULL,0,tt0087800,https://m.media-amazon.com/images/M/MV5BNzFjZmM1ODgtMDBkMS00NWFlLTg2YmUtZjc3ZTgxMjE1OTI2L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Alien,1979,Horror,Sci-Fi,0,tt0078748,https://m.media-amazon.com/images/M/MV5BMmQ2MmU3NzktZjAxOC00ZDZhLTk4YzEtMDMyMzcxY2IwMDAyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
An American Werewolf in London,1981,Comedy,Horror,1,tt0082010,https://m.media-amazon.com/images/M/MV5BZGNmYWQzMGEtNDlhMS00NzEwLTkzMDItMDQ4MjkyMzRkNjFiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Army of Darkness,1992,Comedy,Fantasy,0,tt0106308,https://m.media-amazon.com/images/M/MV5BODcyYzM4YTAtNGM5MS00NjU4LTk2Y2ItZjI5NjkzZTk0MmQ1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
Beetlejuice,1988,Comedy,Fantasy,0,tt0094721,https://m.media-amazon.com/images/M/MV5BZDdmNjBlYTctNWU0MC00ODQxLWEzNDQtZGY1NmRhYjNmNDczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Carrie	1976,Horror,NULL,0,tt0074285,https://m.media-amazon.com/images/M/MV5BMTlhNmVkZGUtNjdjOC00YWY3LTljZWQtMTY1YWFhNGYwNDQwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
Cemetary Man,1994,Comedy,Horror,1,tt0109592,https://m.media-amazon.com/images/M/MV5BMmFlMDBmNzEtM2QxNS00MzUyLTk1YTAtZTQ3ODM5YThlOTFhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Child's Play,1988,Fantasy,Horror,0,tt0094862,https://m.media-amazon.com/images/M/MV5BZGU1MjNiYWYtNGQ5MS00MTgzLTlkYjItZDhhNTdlMTkxZGVlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Children of the Corn,1984,Horror,Thriller,0,tt0087050,https://m.media-amazon.com/images/M/MV5BMDg3OTc2OTQtZDA0My00YTJiLTg3ZTYtOGYwZWM1NWVhZDdiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Clue,1985,Comedy,Crime,0,tt0088930,https://m.media-amazon.com/images/M/MV5BM2VlNTE1ZmMtOTAyNS00ODYwLWFmY2MtZWEzOTE2YjE1NDE2XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg
Coraline,2009,Animation,Drama,1,tt0327597,https://m.media-amazon.com/images/M/MV5BMzQxNjM5NzkxNV5BMl5BanBnXkFtZTcwMzg5NDMwMg@@._V1_SX300.jpg
Corpse Bride,2005,Animation,Comedy,1,tt1142977,https://m.media-amazon.com/images/M/MV5BY2UwYWI3MTktM2MxNC00MjRhLTlkMWEtYTNjMjRkOTIwOTkyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Cursed,	2005,Comedy,Horror,1,tt0257516,https://m.media-amazon.com/images/M/MV5BMjdhZDk5ZjYtMTQ3Yi00YzM4LThiMDItYzgyNTUwNTI2OGY4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Dark Shadows,2012,Comedy,Fantasy,1,tt1077368,https://m.media-amazon.com/images/M/MV5BMjc0NzAyMzI1MF5BMl5BanBnXkFtZTcwMTE0NDQ1Nw@@._V1_SX300.jpg
Dead Alive,1992,Action,Comedy,0,tt0103873,https://m.media-amazon.com/images/M/MV5BZTZlZDgxMDktNGIyOC00OGVmLWFkMmYtNWM3MjBmMDUzNTc4XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
Donnie Darko,2001,Drama,Mystery,1,tt0246578,https://m.media-amazon.com/images/M/MV5BZjZlZDlkYTktMmU1My00ZDBiLWFlNjEtYTBhNjVhOTM4ZjJjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
Double Double Toil and Trouble,1993,Adventure,Comedy,0,tt0106763,https://m.media-amazon.com/images/M/MV5BMTIzNjcwMDU5NV5BMl5BanBnXkFtZTcwOTYyMjYxMQ@@._V1_SX300.jpg
Dracula,1931,Drama,Fantasy,1,tt0021814,https://m.media-amazon.com/images/M/MV5BMTYyMWVkYzUtZDMzNy00ZjdkLWEwYWUtNGZkNmQ5M2U5Njg4XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg
Drag Me to Hell,2009,Horror,Thriller,0,tt1127180,https://m.media-amazon.com/images/M/MV5BMTQwNTMyNjc5Ml5BMl5BanBnXkFtZTcwOTI2MTQ0Mg@@._V1_SX300.jpg
Elvira: Mistress of the Dark,1988,Comedy,Horror,1,tt0095088,https://m.media-amazon.com/images/M/MV5BMzFlZGU5ZjQtNTE4Zi00OGNmLTk0MzQtZjBhYzk5OWEyY2Q4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Frankenstein,1931,Drama,Horror,1,tt0021884,https://m.media-amazon.com/images/M/MV5BMTQ0Njc1MjM0OF5BMl5BanBnXkFtZTgwNTY2NTUyMjE@._V1_SX300.jpg
Frankenweenie,2012,Animation,Comedy,1,tt1142977,https://m.media-amazon.com/images/M/MV5BY2UwYWI3MTktM2MxNC00MjRhLTlkMWEtYTNjMjRkOTIwOTkyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Friday the 13th,1980,Horror,Mystery,1,tt0080761,https://m.media-amazon.com/images/M/MV5BNWMxYTYzYWQtNGZmNy00MTg5LTk1N2MtNzQ5NjQxYjQ5NTJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Fright Night,1985,Comedy,Horror,1,tt1438176,https://m.media-amazon.com/images/M/MV5BMTU2MDc0NDY0M15BMl5BanBnXkFtZTcwOTgzMTYyNQ@@._V1_SX300.jpg
From Beyond,1986,Horror,Sci-Fi,1,tt0091083,https://m.media-amazon.com/images/M/MV5BYjc3ZjQ4YWQtNGFlOS00YmZiLTllZDctYTM3MDNmMTY4N2VjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Ghostbusters,1984,Action,Comedy,0,tt0087332,https://m.media-amazon.com/images/M/MV5BMTkxMjYyNzgwMl5BMl5BanBnXkFtZTgwMTE3MjYyMTE@._V1_SX300.jpg
Halloween,1978,Horror,Thriller,1,tt0077651,https://m.media-amazon.com/images/M/MV5BNzk1OGU2NmMtNTdhZC00NjdlLWE5YTMtZTQ0MGExZTQzOGQyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
HalloweenTown,1998,Adventure,Comedy,1,tt0173886,https://m.media-amazon.com/images/M/MV5BOTAyYjQ3NjctNGMzNi00YThkLThmYzUtZDViYWZkMDA2YTMyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjAwMjc0NjQ@._V1_SX300.jpg
Hellraiser,1978,Horror,Thriller,1,tt0093177,https://m.media-amazon.com/images/M/MV5BMTkyNzc4NjkwNV5BMl5BanBnXkFtZTgwNzI2Mjc1MDE@._V1_SX300.jpg
Hocus Pocus,1993,Comedy,Family,1,tt0107120,https://m.media-amazon.com/images/M/MV5BMWUxNWI0YTYtY2RiZS00ZjNmLTg4ZGUtNDI0Mzk4NmQ5NWE5XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg
Hotel Transylvania,2012,Animation,Comedy,1,tt0837562,https://m.media-amazon.com/images/M/MV5BMTM3NjQyODI3M15BMl5BanBnXkFtZTcwMDM4NjM0OA@@._V1_SX300.jpg
House on Haunted Hill,1959,Crime,Fantasy,1,tt0185371,https://m.media-amazon.com/images/M/MV5BNzUwYWQzZDQtMDQ0Mi00NjFlLTgzNjAtNTFhZmZhNWY4NGEzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Hubie Halloween,2020,Comedy,Fantasy,1,tt10682266,https://m.media-amazon.com/images/M/MV5BMTE0N2EyMzgtMWJhZS00ZWNmLThjZmQtMjcxYTk1NTJiMGVkXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg
Idle Hands,1999,Comedy,Fantasy,1,tt0138510,https://m.media-amazon.com/images/M/MV5BMDVmMjM2MTEtYWU2MS00ZTYxLTk0ZjMtMTdmMzZjNDc3MTIwL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Insidious,2010,Horror,Mystery,0,tt1591095,https://m.media-amazon.com/images/M/MV5BMTYyOTAxMDA0OF5BMl5BanBnXkFtZTcwNzgwNTc1NA@@._V1_SX300.jpg
Interview with the Vampire,1994,Drama,Horror,1,tt0110148,https://m.media-amazon.com/images/M/MV5BYThmYjJhMGItNjlmOC00ZDRiLWEzNjUtZjU4MjA3MzY0MzFmXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg
IT,1989,	Horror,		0,	tt1396484,	https://m.media-amazon.com/images/M/MV5BZDVkZmI0YzAtNzdjYi00ZjhhLWE1ODEtMWMzMWMzNDA0NmQ4XkEyXkFqcGdeQXVyNzYzODM3Mzg@._V1_SX300.jpg
It's the Great Pumpkin Charlie Brown,	1966,	Animation,	Family,	1,	tt0060550,	https://m.media-amazon.com/images/M/MV5BMTQzMDc1NTYzM15BMl5BanBnXkFtZTgwMDQ2NDUzMzE@._V1_SX300.jpg
Jeepers Creepers,	2001,	Horror,	Mystery,	0,	tt0263488,	https://m.media-amazon.com/images/M/MV5BMTkwNDU0NTE0OV5BMl5BanBnXkFtZTgwNzAzNzQyMTI@._V1_SX300.jpg
Lady in White,	1988,	Fantasy,	Horror,	0,	tt0095484,	https://m.media-amazon.com/images/M/MV5BZGNmODBhYzAtNTQ1ZS00OGU2LTk5ZjQtMWNiYjAwNWI5YjkyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Little Shop of Horrors,	1986,	Comedy,	Horror,	0,	tt0091419,	https://m.media-amazon.com/images/M/MV5BYzUxZDI3MjktZmM4YS00MzdjLWE5MzctMmI4M2ViMDgxMmUzXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Near Dark,	1987,	Action,	Crime,	0,	tt0093605,	https://m.media-amazon.com/images/M/MV5BODdkYzVhMmQtYmJhMy00MGMxLTk2ZmEtMmE0YTEwMWNhOTI5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Night of the Living Dead,	1968,	Horror,	Thriller,	1,	tt0063350,	https://m.media-amazon.com/images/M/MV5BYzI4NmVhNmItYzAzNC00ZTJmLWExMjAtMjBjN2VjYWVmMDQwXkEyXkFqcGdeQXVyMzAxNjg3MjQ@._V1_SX300.jpg
Nightmare Before Christmas,	1993,	Animation,	Family,	1,	tt0107688,	https://m.media-amazon.com/images/M/MV5BNWE4OTNiM2ItMjY4Ni00ZTViLWFiZmEtZGEyNGY2ZmNlMzIyXkEyXkFqcGdeQXVyMDU5NDcxNw@@._V1_SX300.jpgg
Nosferatu,	1922,	Fantasy,	Horror,	1,	tt0013442,	https://m.media-amazon.com/images/M/MV5BMTAxYjEyMTctZTg3Ni00MGZmLWIxMmMtOGM2NTFiY2U3MmExXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
Paranorman,	2012,	Animation,	Adventure,	1,	tt1623288,	https://m.media-amazon.com/images/M/MV5BMjA1OTU1NDM3N15BMl5BanBnXkFtZTcwMjYxNTg0Nw@@._V1_SX300.jpg
Pet Sematary,	1989,	Fantasy,	Horror,	0,	tt0098084,	https://m.media-amazon.com/images/M/MV5BYjBlNTBhYWQtMzg5Yi00NDA2LWJmMjYtZmM0ODhiYzkwYmY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Pit and the Pendulum,	1961,	Drama,	Horror,	1,	tt0055304,	https://m.media-amazon.com/images/M/MV5BZGY1ODM0Y2EtYTBlNy00ZTQ5LWI5MzQtZTY2NzllYTM4ZTRlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Poltergeist,	2015,	Horror,	Thriller,	0,	tt0084516,	https://m.media-amazon.com/images/M/MV5BNzliZmRlYTctYmNkYS00NzE5LWI1OWQtMTRiODY5MDMwMTVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Psycho,	1960,	Horror,	Mystery,	1,	tt0054215,	https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
Pumpkinhead,	1988,	Fantasy,	Horror,	1,	tt0095925,	https://m.media-amazon.com/images/M/MV5BMTQ0YTQ2ZTUtNGFkOC00YzI2LTkwNDktN2Y0YjI4NGVjMDM3L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Re-Animator,	1985,	Comedy,	Horror,	0,	tt0089885,	https://m.media-amazon.com/images/M/MV5BNDRjNjRlNmYtZGVkOS00ODA1LWFmMTEtZmY1MWY5ZGM5OWUxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Rosemary's Baby,	1968,	Drama,	Horror,	0,	tt0063522,	https://m.media-amazon.com/images/M/MV5BZmEwZGU2NzctYzlmNi00MGJkLWE3N2MtYjBlN2ZhMGJkZTZiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Saw,	2004,	Horror,	Mystery,	0,	tt0387564,	https://m.media-amazon.com/images/M/MV5BMzQ2ZTBhNmEtZDBmYi00ODU0LTgzZmQtNmMxM2M4NzM1ZjE4XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg
Scary Stories to Tell in the Dark,	2019,	Adventure,	Horror,	1,	tt3387520,	https://m.media-amazon.com/images/M/MV5BMmI1MGE0ODMtYWRlZC00ZDUxLWIyNGItYjgyNzhhMTRlOTI2XkEyXkFqcGdeQXVyOTQ5MTIwMjM@._V1_SX300.jpg
Scooby-Doo,	2002,	Adventure,	Comedy,	1,	tt0267913,	https://m.media-amazon.com/images/M/MV5BMTg4MzMzMTY0OF5BMl5BanBnXkFtZTYwNzM3MTg2._V1_SX300.jpg
Scream,	1996,	Horror,	Mystery,	1,	tt0117571,	https://m.media-amazon.com/images/M/MV5BMjA2NjU5MTg5OF5BMl5BanBnXkFtZTgwOTkyMzQxMDE@._V1_SX300.jpg
Silent Hill,	2006,	Horror,		0,	tt0384537,	https://m.media-amazon.com/images/M/MV5BOWQzNTU3NGUtNDAxMi00ZjFjLTkyYWUtYjgwZDJiMDljZWY4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Sleepy Hollow,	1999,	Fantasy,	Horror,	0,	tt0162661,	https://m.media-amazon.com/images/M/MV5BMTQ4Yjk5ODEtNGFkOS00OTY1LTgwYTYtOTFkNmU2NzBmNGM2XkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_SX300.jpg
Sleepy Hollow,	1999,	Fantasy,	Horror,	1,	tt0162661,	https://m.media-amazon.com/images/M/MV5BMTQ4Yjk5ODEtNGFkOS00OTY1LTgwYTYtOTFkNmU2NzBmNGM2XkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_SX300.jpg
Something Wicked This Way Comes,	1983,	Fantasy,	Fantasy,	0,	tt0086336,	https://m.media-amazon.com/images/M/MV5BZjAwNWM2ZjItMTgwYi00YjMzLTkyZjEtYTU2YjFiODkzMjA5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Spooky Buddies,	2011,	Family,	Fantasy,	1,	tt1792131,	https://m.media-amazon.com/images/M/MV5BMTkxNzkyNjM3MV5BMl5BanBnXkFtZTcwNTY4NzgxNQ@@._V1_SX300.jpg
Tales of Halloween,	2015,	Comedy,	Horror,	1,	tt4163020,	https://m.media-amazon.com/images/M/MV5BMjQwODQ1MTM1MF5BMl5BanBnXkFtZTgwODUwNzY5NjE@._V1_SX300.jpg
The Addams Family,	1991,	Comedy,	Fantasy,	1,	tt0101272,	https://m.media-amazon.com/images/M/MV5BODc1NmY0MDUtNjUzNS00ODdhLWJlN2ItMTgwZjczZjI0MDkyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
The Autopsy of Jane Doe	2016,	Horror,	Mystery,	0,	tt3289956,	https://m.media-amazon.com/images/M/MV5BMjA2MTEzMzkzM15BMl5BanBnXkFtZTgwMjM2MTM5MDI@._V1_SX300.jpg
The Birds,	1963,	Drama,	Horror,	0,	tt0056869,	https://m.media-amazon.com/images/M/MV5BMTAxNDA1ODc5MDleQTJeQWpwZ15BbWU4MDg2MDA4OTEx._V1_SX300.jpg
The Blair Witch Project,	1999,	Horror,	Mystery,	0,	tt0185937,	https://m.media-amazon.com/images/M/MV5BNzQ1NDBlNDItMDAyYS00YTI2LTgwMmYtMzAwMzg4NDFlM2ZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Cabinet of Dr. Caligari,	1920,	Fantasy,	Horror,	1,	tt0010323,	https://m.media-amazon.com/images/M/MV5BNWJiNGJiMTEtMGM3OC00ZWNlLTgwZTgtMzdhNTRiZjk5MTQ1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
The Conjuring,	2013,	Horror,	Mystery,	0,	tt1457767,	https://m.media-amazon.com/images/M/MV5BMTM3NjA1NDMyMV5BMl5BanBnXkFtZTcwMDQzNDMzOQ@@._V1_SX300.jpg
The Craft,	1996,	Drama,	Fantasy,	1,	tt0115963,	https://m.media-amazon.com/images/M/MV5BZTBkMWE1NGItZTgxMi00ZTE0LWIzZjAtNzQ5ZGZlZTQxN2EwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Evil Dead,	1981,	Horror,		0,	tt0083907,	https://m.media-amazon.com/images/M/MV5BODc2MmVjZmUtNjAzMS00MDNiLWIyM2YtOGEzMjg0YjRhMzRmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Exorcist,	1973,	Horror,		0,	tt0070047,	https://m.media-amazon.com/images/M/MV5BYjhmMGMxZDYtMTkyNy00YWVmLTgyYmUtYTU3ZjcwNTBjN2I1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
